Grade,MI Baseline,MI Follow Up 1,MI Follow Up 2,RI Baseline,RI Follow Up 1,RI Follow Up 2,MI Imp 1 to 2,MI Imp 1 to 3,RI Imp 1 to 2,RI Imp 1 to 3
9,760,420,,,,,-340,,,
9,625,,,627,,600,,,,-27
9,,,,611,492,,,,-119,
9,,,,777,868,,,,91,
9,,,,863,,1120,,,,257
9,,,,699,,818,,,,119
9,,,,618,753,819,,,135,201
9,450,65,,929,,,-385,,,
9,,,,485,553,707,,,68,222
9,,,,605,280,362,,,-325,-243
9,,,,513,678,840,,,165,327
9,830,885,750,,,,55,-80,,
9,705,345,,,,,-360,,,
9,440,,,651,,755,,,,104
9,,,,681,,914,,,,233
9,385,380,,,,,-5,,,
9,,,,522,,516,,,,-6
9,420,175,,,,,-245,,,
9,,,,791,854,798,,,63,7
9,,,,452,,572,,,,120
9,705,200,500,,,,-505,-205,,
9,535,460,,,,,-75,,,
9,,,,712,734,896,,,22,184
9,585,,810,,,,,225,,
9,,,,785,640,630,,,-145,-155
9,605,435,590,,,,-170,-15,,
9,,,,573,640,813,,,67,240
9,710,620,920,,,,-90,210,,
9,,,,679,903,997,,,224,318
9,,,,884,922,985,,,38,101
9,565,,,568,582,,,,14,
9,675,755,600,,,,80,-75,,
9,,,,488,533,730,,,45,242
9,885,1185,1235,,,,300,350,,
9,,,,968,,930,,,,-38
9,200,365,690,716,,574,165,490,,-142
9,,,,472,502,554,,,30,82
9,,,,771,652,,,,-119,
9,,,,581,677,,,,96,
9,605,445,785,209,,,-160,180,,
9,,,,816,,861,,,,45
9,825,,755,,,,,-70,,
9,,,,917,987,1103,,,70,186
9,,,,773,800,781,,,27,8
9,570,370,720,,,,-200,150,,
9,355,230,535,848,,695,-125,180,,-153
9,,,,522,,630,,,,108
9,605,525,895,,,,-80,290,,
9,505,485,315,,,,-20,-190,,
9,,,,522,767,799,,,245,277
9,415,610,460,,,,195,45,,
9,570,,,555,548,618,,,-7,63
9,490,,,432,579,908,,,147,476
9,,,,645,872,1004,,,227,359
9,,,,774,823,896,,,49,122
9,915,,1105,,,,,190,,
9,,,,333,451,499,,,118,166
9,515,610,630,,,,95,115,,
9,540,460,565,,,,-80,25,,
9,450,180,225,540,,510,-270,-225,,-30
9,,,,408,524,487,,,116,79
9,580,425,595,379,,,-155,15,,
9,700,440,505,421,,,-260,-195,,
9,,,,809,809,780,,,0,-29
9,,,,721,786,837,,,65,116
9,610,,,760,553,555,,,-207,-205
9,295,120,310,641,,705,-175,15,,64
9,,,,360,,294,,,,-66
9,,,,794,935,986,,,141,192
9,590,525,700,,,,-65,110,,
9,,,,489,421,563,,,-68,74
9,,,,777,792,882,,,15,105
9,590,750,765,771,,1050,160,175,,279
9,255,,,519,422,543,,,-97,24
9,525,375,500,464,,535,-150,-25,,71
9,585,465,615,,,,-120,30,,
9,,,,642,577,680,,,-65,38
9,,,,832,872,828,,,40,-4
9,,,,555,528,717,,,-27,162
9,,,,388,540,570,,,152,182
9,,,,751,890,,,,139,
9,,,,406,593,,,,187,
9,645,710,860,,,,65,215,,
9,,,,485,699,,,,214,
9,730,,855,,,,,125,,
9,590,,,869,683,780,,,-186,-89
9,900,1080,1315,,,,180,415,,
9,,,,691,683,702,,,-8,11
9,,,,513,627,673,,,114,160
9,,,,368,451,584,,,83,216
9,615,810,915,,,,195,300,,
9,,,,616,889,948,,,273,332
9,935,925,1160,,,,-10,225,,
9,605,760,275,116,,812,155,-330,,696
9,440,450,525,,,,10,85,,
9,665,715,765,957,,1091,50,100,,134
9,,,,755,792,915,,,37,160
9,,,,738,884,943,,,146,205
9,735,540,675,,,,-195,-60,,
9,480,-150,385,200,,194,-630,-95,,-6
9,700,580,745,415,,673,-120,45,,258
9,,,,668,624,659,,,-44,-9
9,480,615,935,,,,135,455,,
9,,,,500,644,,,,144,
9,,,,450,503,620,,,53,170
